exe_sha256,sym_sha256,segment,segment_name,offset,name,kind,ownership,confidence
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,0,_StopSimulation,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,52,_RestartSimulation,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,80,_CleanUp,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,266,_DecodeString,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,438,_DoUserButtonUpdate,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,570,_UpdateUserButtons,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,874,_SetUserButton,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,1220,_DoUserButton,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,2214,_DoBookMark,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,2728,_ClearBookmarks,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,2854,_DrawRibbonMessage,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,3010,_DoEvent,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,3558,_HelpKeyDown,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,3724,_DoKeyDown,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,5110,_DoMouse,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,6188,_DoNextWindow,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,6262,_DoMenuEntry,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,6766,_AdjustWndMinMax,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,7224,MYENUMFUNC,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,7272,_RedrawWindows,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,7358,_DoDebugWin,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,7538,_NetBIOSPost,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,7615,_ProcessPost,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,8288,_NetworkSend,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,8740,_UpdateWindows,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,9280,MYTIMERFUNC,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,10254,_LoadFancyCursor,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,10368,_SetFancyCursor,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,10544,MAINWNDPROC,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,15498,_InitInstance,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,15824,_InitApplication,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,16140,_PatchColorArrays,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,16346,WINMAIN,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,17892,_SetDevicePalette,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,18078,_SetUpPalette,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,18644,_MyPow,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,18750,_InitPalette,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,19468,_ClosePalette,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,19492,_SetMenuEntries,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,19650,_PauseGame,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,20020,_SetPause,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,20390,_ProcMenuHelp,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,20418,_ProcMenu,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,21604,_InitApplicationWindows,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,21802,_InitApplicationStuff,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,21808,_CalcScore,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,22936,_DoScenario,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,23212,_DoWinHelp,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,23242,_win_DrawScoreWindow,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,23722,_ScoreDialog,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,23966,_DrawCastePopUp,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,24780,_SetDefaultWindPrompt,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,24922,_PictStrnDialog,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,25078,_win_DrawPictureWindow,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,25276,_PictureDialog,SYMBOL_ONLY_START,GAME,PROBABLE
538fed3f0fd60a6528a5e5b20990361ac4d274c58266a81e71c24f751612589d,9d27f4d0872e483ddbf460bda8a2e34b7180f153c6d7c1a74d692720476c9a7f,1,SIMANT_MODULE,25812,_win_DrawEndGameWindow,SYMBOL_ONLY_START,GAME,PROBABLE
